
주식회사 엔터아이티$ 873-87-00767$ 전산용역 개발, 관리 및 유지보수$ 14$ 45$ 서울시 영등포구 여의대방로65길 12, 903호$" http//www.enterit.co.kr"" target=""_blank"">www.enterit.co.kr"$ RPA(Automation anywhere)개발 및 운영1$1명1
메타지$ 590-81-02102$ 응용소프트웨어 개발 및 공급업$ 16$ 3.8$ 서울시 강남구 봉은사로44길 50, 401호$" http//www.meta-z.io"" target=""_blank"">www.meta-z.io"$ 메일로 전송$ 게임 클라이언트 개발자 / 게임 3D 아티스트
(주) 시솔지주$ 220-88-62200$ 시스템응용SW개발및공급$ 15$ 6$ 경기도 성남시 수정구 달래내로 46 (성남글로벌융합센터) A802호$" https//sisoul.co.kr"" target=""_blank"">https//sisoul.co.kr"$ 중소기업, 벤처 인증 기업, 기업부설 연구소$ 안드로이드 App 개발(Kotlin) / 공공기관 프로젝트 레거시 코드 분석 후 개발 및 보완, 새 프로젝트 UI &amp; 기능 개발
 119-86-42991$ 소프트웨어개발$ 50$ 70$ 서울시 서초구 서초대로74길 45, 12,13층 (서초동, 엔데버타워)$" http//www.matholic.com"" target=""_blank"">www.matholic.com"$"매쓰홀릭(http//www.matholic.com"" target=""_blank"">www.matholic.com)은 2011년에 출발한 에듀테크 기업입니다. AI 수학학습 도구인 '매쓰홀릭'을 서비스 중이며 탄탄한매출 기반을 가지고 있습니다. 매쓰홀릭은 수십억 개의 학습 데이터셋으로 학습자 모델링과 학습자 별 추천 학습 시스템을 더욱 고도화하여 학생들의 학습 부담을 경감시키고 성공 경험을 축적시켜 학생들이 성장하는데 기여하고 있습니다."$- React, Typescript 를 사용하여 REST API 를 연동해 동적인 웹프론트엔드 애플리케이션 개발합니다.- 단순 기능 구현이 아닌 사용자에게 친화적인 UI/UX를 고민하고디자인합니다.- 가벼운 실무 프로젝트에 함께 참여하여 개발 역량을 키워나갑니다.역량에 따라서 다양하고 심도 있는 주제의 개발에도 함께 하실 수있습니다.- 하나 이상의 프로그래밍언어를 잘 사용하실 수 있으신 분이면좋겠습니다.- 실무 개발 경험을 쌓고 꾸준히 개발 역량을 키워나가고 싶으신분 환영합니다.$- HTML, CSS, Javascript 에 대한 이해 - 기본적인 Javascript 프로그래밍 능력 - (우대) HTTP, REST API에 대한 이해 - (우대)React 개발 경험1
(주)와우솔루션$ 206-86-01557$ SW개발및공급$ 9$ 20$ 서울시 강남구 삼성로96길6 LG트윈텔1차 1304호$" http//www.wowslt.com"" target=""_blank"">http//www.wowslt.com"$ 부동산신탁, 토목엔지니어링 에 ERP 시스템을 개발하고 유지보수하는 중소기업입니다.$ 개발 및 유지보수
㈜휴맥스홀딩스$ 215-81-37923$ 서비스업,부동산업$ 56$ 77$ 경기도 성남시 분당구 황새울로 216 휴맥스빌리지$" https//www.humaxit.com/"" target=""_blank"">https//www.humaxit.com/ https//holdings.humaxdigital.com/"" target=""_blank"">https//holdings.humaxdigital.com/"$ SW 개발 (REACT, Node.js. MySQL)$ (학교에서 교육받은 언어기준) 개발 역량1
리버밴스 주식회사$ 838-88-01509$ 정보통신업$ 3$ 1.21$(본원) 광주광역시 북구 첨단과기로123(오룡동), 산학협력연구관307-308호 / (서울사무소) 서울특별시 강남구 강남대로94길 27-11, 503호$" https//libervance.com/"" target=""_blank"">https//libervance.com/"$리버밴스(주)는 광주과학기술원(GIST)의 교원이 창업한 블록체인 및 인공지능 솔루션 제공 스타트업입니다. GIST의 우수한 석·박사급 연구인력과 개발인프라를 바탕으로 정부 및 비기술기업에 손쉬운 탈중앙 블록체인 지능 융합 토탈 솔루션을 제공하고 있습니다.본 기업은 2022년 TIPS(민간투자형기술창업지원) 지원기업에선정되었으며 한미상공회의소, GG56코리아 등 주요 기업들과양해각서를 체결하며 사업 저변을 확대하고 있습니다. 상세한 기업 정보(IR)는 이메일로 보내드리겠습니다.$- 프론트엔드 개발자  (React, Vue.js 등을 이용한 SPA개발, Javascript(React/React Native/Node.js) 개발, Git을 활용한버전관리, 상용 서비스 출시)- 블록체인/백엔드 개발자  (리버밴스메인넷, dApp, 스마트 컨트랙트개발 / 신사업 DeFi/NFT 서비스 개발 / DAO 구조또는 거버넌스 설계 / 리버밴스 메인넷 플랫폼 구축 및 관리 /AWS 활용 서버 구축 / 리버밴스 프로젝트 미디어 서비스 개발 /프로젝트의 인프라 유지 관리 및 고도화)
주식회사 다다익스$ 598-88-02013$ 정보통신업$ 3$ 2$ 서울 구로구 디지털로30길 28, 마리오타워 803호$" https//ddwings-guide.oopy.io"" target=""_blank"">https//ddwings-guide.oopy.io"$ 지역기반 4륜차 라스트마일 배송 플랫폼 서비스를 제공하는 회사입니다.(중소기업, 벤처기업 인증)$총 3개의 직군의 업무 담당자가 필요합니다.(back-end, frontꠓend, design)주요업무  다다익스 서비스의 개발 및 유지보수에 참여합니다.개발 필수 언어  javascript우대사항  
(주) 티에스웨이$ 119-86-11805$ S/W 개발$ 25$ 25$ 경기도 의왕시 이미로 40 인덕원IT밸리 C동 302호$" http//www.tsway.co.kr"" target=""_blank"">www.tsway.co.kr"$ 소프트웨어 개발 (공기업,금용건) 및 유지보수(한국도로공사,한국 부동산원, 산림과학원)$ JAVA,Oracle,Linux1
(주)엠온아이앤씨$ 686-87-01745$ IT서비스$ 8$ 8$ 서울시 금천구 두산로 70 현대지식산업센터 A1112$" http//www.m-on.co.kr"" target=""_blank"">www.m-on.co.kr"$비대면 협업 솔루션인 MS팀즈(Teams) 사용 문의 응대, Microsoft365(Office 365) 사용 문의 응대, 그룹사 임직원들에 대한 마이크로소프트 제품의 IT헬프데스크입니다.$ 컴퓨터에 관심1
